Model,Asset,Value,What
MLPClassifier,TRXUSDT_1d,"{1: 0.52, 0: 0.48}",DESBALANCEO PREDICCIÓN VAL
MLPClassifier,TRXUSDT_1d,0.3650434671213294,F1 VALIDATION
MLPClassifier,TRXUSDT_1d,"{1: 0.6933333333333334, 0: 0.30666666666666664}",DESBALANCEO REAL VAL
MLPClassifier,TRXUSDT_1d,{1: 1.0},DESBALANCEO PREDICCIÓN VAL
MLPClassifier,TRXUSDT_1d,0.42487112426455154,F1 VALIDATION
MLPClassifier,TRXUSDT_1d,"{1: 0.6933333333333334, 0: 0.30666666666666664}",DESBALANCEO REAL VAL
MLPClassifier,TRXUSDT_1d,{1: 1.0},DESBALANCEO PREDICCIÓN VAL
MLPClassifier,TRXUSDT_1d,0.5765027322404371,FINAL TEST
MLPClassifier,TRXUSDT_1d,0.538521609683481,F1 FINAL TEST
MLPClassifier,TRXUSDT_1d,"{1: 0.6010928961748634, 0: 0.3989071038251366}",DESBALANCEO REAL
MLPClassifier,TRXUSDT_1d,"{1: 0.6857923497267759, 0: 0.31420765027322406}",DESBALANCEO PREDICCIÓN
MLPClassifier,LINKUSDT_1d,0.33014675854749387,F1 VALIDATION
MLPClassifier,LINKUSDT_1d,"{1: 0.7066666666666667, 0: 0.29333333333333333}",DESBALANCEO REAL VAL
MLPClassifier,LINKUSDT_1d,{1: 1.0},DESBALANCEO PREDICCIÓN VAL
MLPClassifier,LINKUSDT_1d,0.29553515809771874,F1 VALIDATION
MLPClassifier,LINKUSDT_1d,"{1: 0.7066666666666667, 0: 0.29333333333333333}",DESBALANCEO REAL VAL
MLPClassifier,LINKUSDT_1d,"{0: 0.9333333333333333, 1: 0.06666666666666667}",DESBALANCEO PREDICCIÓN VAL
MLPClassifier,LINKUSDT_1d,0.3635378861633834,F1 VALIDATION
MLPClassifier,LINKUSDT_1d,"{1: 0.7066666666666667, 0: 0.29333333333333333}",DESBALANCEO REAL VAL
MLPClassifier,LINKUSDT_1d,"{0: 0.7066666666666667, 1: 0.29333333333333333}",DESBALANCEO PREDICCIÓN VAL
MLPClassifier,LINKUSDT_1d,0.32933913221058614,F1 VALIDATION
