Frequency,Asset,Model,Accuracy,Vald/Test
4h,BTCUSDT_4h,MLPClassifier,{1: 1.0},DESBALANCEO PREDICCIÓN VAL
4h,BTCUSDT_4h,MLPClassifier,0.46097672295755365,FINAL TEST
4h,BTCUSDT_4h,MLPClassifier,0.3155263980006248,F1 FINAL TEST
4h,BTCUSDT_4h,MLPClassifier,"{1: 0.5390232770424463, 0: 0.46097672295755365}",DESBALANCEO REAL
4h,BTCUSDT_4h,MLPClassifier,{0: 1.0},DESBALANCEO PREDICCIÓN
4h,ETHUSDT_4h,MLPClassifier,0.33711399188111874,F1 VALIDATION
4h,ETHUSDT_4h,MLPClassifier,"{0: 0.6206896551724138, 1: 0.3793103448275862}",DESBALANCEO REAL VAL
4h,ETHUSDT_4h,MLPClassifier,{1: 1.0},DESBALANCEO PREDICCIÓN VAL
4h,ETHUSDT_4h,MLPClassifier,0.5107256960292104,FINAL TEST
4h,ETHUSDT_4h,MLPClassifier,0.4584035861203859,F1 FINAL TEST
4h,ETHUSDT_4h,MLPClassifier,"{1: 0.52259242355089, 0: 0.47740757644910997}",DESBALANCEO REAL
4h,ETHUSDT_4h,MLPClassifier,"{1: 0.7882245549977179, 0: 0.21177544500228207}",DESBALANCEO PREDICCIÓN
4h,XRPUSDT_4h,MLPClassifier,0.4301785364548941,F1 VALIDATION
4h,XRPUSDT_4h,MLPClassifier,"{0: 0.6896551724137931, 1: 0.3103448275862069}",DESBALANCEO REAL VAL
4h,XRPUSDT_4h,MLPClassifier,"{0: 0.8275862068965517, 1: 0.1724137931034483}",DESBALANCEO PREDICCIÓN VAL
4h,XRPUSDT_4h,MLPClassifier,0.5079872204472844,FINAL TEST
4h,XRPUSDT_4h,MLPClassifier,0.34015168785424377,F1 FINAL TEST
4h,XRPUSDT_4h,MLPClassifier,"{1: 0.5061615700593336, 0: 0.49383842994066635}",DESBALANCEO REAL
4h,XRPUSDT_4h,MLPClassifier,"{1: 0.9981743496120493, 0: 0.0018256503879507074}",DESBALANCEO PREDICCIÓN
4h,BNBUSDT_4h,MLPClassifier,0.42455683096788954,F1 VALIDATION
4h,BNBUSDT_4h,MLPClassifier,"{0: 0.6206896551724138, 1: 0.3793103448275862}",DESBALANCEO REAL VAL
4h,BNBUSDT_4h,MLPClassifier,"{1: 0.6896551724137931, 0: 0.3103448275862069}",DESBALANCEO PREDICCIÓN VAL
4h,BNBUSDT_4h,MLPClassifier,0.5157462345960748,FINAL TEST
4h,BNBUSDT_4h,MLPClassifier,0.5152793338083267,F1 FINAL TEST
4h,BNBUSDT_4h,MLPClassifier,"{1: 0.536741214057508, 0: 0.46325878594249204}",DESBALANCEO REAL
4h,BNBUSDT_4h,MLPClassifier,"{0: 0.505705157462346, 1: 0.49429484253765404}",DESBALANCEO PREDICCIÓN
4h,SOLUSDT_4h,MLPClassifier,0.4757460085259301,F1 VALIDATION
