Model,Asset,Accuracy,What
GradientBoostingClassifier,LINKUSDT_1h,0.5180915420614085,FINAL TEST
GradientBoostingClassifier,LINKUSDT_1h,0.5161917301080967,F1 FINAL TEST
GradientBoostingClassifier,LINKUSDT_1h,"{0: 0.5116995776737815, 1: 0.48830042232621845}",DESBALANCEO REAL
GradientBoostingClassifier,LINKUSDT_1h,"{0: 0.5509645017692044, 1: 0.4490354982307956}",DESBALANCEO PREDICCIÓN
GradientBoostingClassifier,AVAXUSDT_1h,0.4982246250995631,F1 VALIDATION
GradientBoostingClassifier,AVAXUSDT_1h,"{0: 0.5079365079365079, 1: 0.49206349206349204}",DESBALANCEO REAL VAL
GradientBoostingClassifier,AVAXUSDT_1h,"{0: 0.6031746031746031, 1: 0.3968253968253968}",DESBALANCEO PREDICCIÓN VAL
GradientBoostingClassifier,AVAXUSDT_1h,0.5035954799680402,FINAL TEST
GradientBoostingClassifier,AVAXUSDT_1h,0.5021749149293568,F1 FINAL TEST
GradientBoostingClassifier,AVAXUSDT_1h,"{0: 0.5135258532131035, 1: 0.4864741467868965}",DESBALANCEO REAL
GradientBoostingClassifier,AVAXUSDT_1h,"{0: 0.5398927063120649, 1: 0.4601072936879352}",DESBALANCEO PREDICCIÓN
